Sample	checked	Country	State	Site	Replicate	Remnant	Depth	Lat	Long
Brazil_Roraima_RR.Plt2.C_S65_L001	Y	Brazil	Roraima	RR-Plt4	3	Disturbed	20	2.25	-60.665
Brazil_Roraima_RR.Plt2.D_S66_L001	Y	Brazil	Roraima	RR-Plt5	4	Disturbed	20	2.25	-60.665
Brazil_Roraima_RR.Plt2.E_S67_L001	Y	Brazil	Roraima	RR-Plt6	5	Disturbed	20	2.25	-60.665
Brazil_Roraima_RR.Ps3.A_S68_L001	Y	Brazil	Roraima	RR-Ps3	1	Post-ag	20	2.25	-60.665
Brazil_Roraima_RR.Ps3.B_S69_L001	Y	Brazil	Roraima	RR-Ps3	2	Post-ag	20	2.25	-60.665
Brazil_Roraima_RR.Ps3.C_S70_L001	Y	Brazil	Roraima	RR-Ps3	3	Post-ag	20	2.25	-60.665
Brazil_Roraima_RR.Ps3.D_S71_L001	Y	Brazil	Roraima	RR-Ps3	4	Post-ag	20	2.25	-60.665
Brazil_SantaCatarina_LgA1_S23_L001	Y	Brazil	Santa_Catarina	LgA	1	Disturbed	20	-27.761	-50.082
Brazil_SantaCatarina_LgA2_S24_L001	Y	Brazil	Santa_Catarina	LgA	2	Disturbed	20	-27.761	-50.082
Brazil_SantaCatarina_LgA3_S25_L001	Y	Brazil	Santa_Catarina	LgA	3	Disturbed	20	-27.761	-50.082
Brazil_SantaCatarina_LgA4_S26_L001	Y	Brazil	Santa_Catarina	LgA	4	Disturbed	20	-27.761	-50.082
Brazil_SantaCatarina_LgA5_S27_L001	Y	Brazil	Santa_Catarina	LgA	5	Disturbed	20	-27.761	-50.082
Brazil_SantaCatarina_LgB1_S28_L001	Y	Brazil	Santa_Catarina	LgB	1	Post-ag	20	-27.762	-50.081
Brazil_SantaCatarina_LgB2_S29_L001	Y	Brazil	Santa_Catarina	LgB	2	Post-ag	20	-27.762	-50.081
Brazil_SantaCatarina_LgB3_S30_L001	Y	Brazil	Santa_Catarina	LgB	3	Post-ag	20	-27.762	-50.081
Brazil_SantaCatarina_LgB4_S31_L001	Y	Brazil	Santa_Catarina	LgB	4	Post-ag	20	-27.762	-50.081
Brazil_SantaCatarina_LgB5_S32_L001	Y	Brazil	Santa_Catarina	LgB	5	Post-ag	20	-27.762	-50.081
Brazil_SantaCatarina_LgC1_S33_L001	Y	Brazil	Santa_Catarina	LgC	1	Remnant	20	-27.761	-50.076
Brazil_SantaCatarina_LgC2_S34_L001	Y	Brazil	Santa_Catarina	LgC	2	Remnant	20	-27.761	-50.076
Brazil_SantaCatarina_LgC3_S35_L001	Y	Brazil	Santa_Catarina	LgC	3	Remnant	20	-27.761	-50.076
Brazil_SantaCatarina_LgC4_S36_L001	Y	Brazil	Santa_Catarina	LgC	4	Remnant	20	-27.761	-50.076
Brazil_SantaCatarina_LgC5_S37_L001	Y	Brazil	Santa_Catarina	LgC	5	Remnant	20	-27.761	-50.076
Brazil_SantaCatarina_LgF1_S43_L001	Y	Brazil	Santa_Catarina	LgF	1	Disturbed	20	-27.752	-50.079
Brazil_SantaCatarina_LgF2_S44_L001	Y	Brazil	Santa_Catarina	LgF	2	Disturbed	20	-27.752	-50.079
Brazil_SantaCatarina_LgF3_S45_L001	Y	Brazil	Santa_Catarina	LgF	3	Disturbed	20	-27.752	-50.079
Brazil_SantaCatarina_LgF4_S46_L001	Y	Brazil	Santa_Catarina	LgF	4	Disturbed	20	-27.752	-50.079
Brazil_SantaCatarina_LgF5_S47_L001	Y	Brazil	Santa_Catarina	LgF	5	Disturbed	20	-27.752	-50.079
Brazil_SantaCatarina_LgP1_S38_L001	Y	Brazil	Santa_Catarina	LgP	1	Remnant	20	-27.761	-50.078
Brazil_SantaCatarina_LgP2_S39_L001	Y	Brazil	Santa_Catarina	LgP	2	Remnant	20	-27.761	-50.078
Brazil_SantaCatarina_LgP3_S40_L001	Y	Brazil	Santa_Catarina	LgP	3	Remnant	20	-27.761	-50.078
Brazil_SantaCatarina_LgP4_S41_L001	Y	Brazil	Santa_Catarina	LgP	4	Remnant	20	-27.761	-50.078
